19th UAS Precision LLC | Sandusky, Michigan
Albertson Drone Service LLC | Fowler, Indiana
All Drone Solutions | Exeter, California
Almanax | Lebanon, Connecticut
Aloha Aina Drones | Hilo, Hawaii
Alpha Drones USA | Morristown, New Jersey
Alpine Ag Services | Livingston, Montana
Altitude Agri Services | Richland, Washington
Altitude Drone Innovations | Starkville, Mississippi
American Autonomy (Rantizo) | Iowa City  (national), California
American Bird Conservancy BNM | Maui and Kauai, Hawaii
American Drone LLC | Marshfield, Wisconsin
Anne Arundel Community College | Arnold, Maryland
Apex Ag LLC | Harrisonburg, Virginia
Apple Farm Service | Covington  (+ Botkins Mechanicsburg WCH OH; West College Corner IN), Indiana
Applied Ag | Unknown, California
ARC Drone Solutions | Southwest, Minnesota
ArgenTech Solutions | NH (HQ); Pendleton, Oregon
Arkansas Drone Solutions | Arkansas, Arkansas
Auburn University Extension | Auburn, Alabama
AV8-ORR Helicopter Services Inc. | Hamilton, Montana
Avary Drone | Atlanta, Alabama
Avary Drone Corp | Lehi, UT (hubs: Boise, Twin Falls, Idaho
AZ AgFlyers / C&C Ag Services | Arizona, Arizona
Bear UAV | Oregon (serves ID, Idaho
Bestway Ag (Hiawatha) | Hiawatha, Kansas
Bestway Ag | Paducah, Kentucky
Birds Eye Aerial Drones | Unknown, California
Birkey's Farm Store | Champaign, Illinois
Black Dog Drone Co. | Nashville, Tennessee
Bluebird Ag LLC | Knox, Indiana
Brave Harvest | Des Moines, Iowa
Broward County Mosquito Control | Broward County, Florida
C4 Drone Services | Duncan, Oklahoma
Cahoon Aerial Systems | Helena area, Montana
Campbell Aviation | Montana, Montana
Carolina Agri Drones | Goldsboro, North Carolina
Carter Aerial Land Management | Florence, South Carolina
Central UAS Technologies | Daytona Beach, Florida
Central Washington Land Restoration Services | Selah, Washington
Chesapeake College | Wye Mills, Maryland
Chesapeake Drone Ag | Eastern Shore, Maryland
Clark Ag LLC | Eastern Idaho, Idaho
CNY Drone Services Inc. | Herkimer, New York
Coastal Agriculture Services | Coastal Alabama, Alabama
Collier Mosquito Control District | Naples, Florida
Colorado Drone Works LLC | Western Colorado, Colorado
Conservation Contracting LLC | Greenfield, Ohio
Conservation Drone Services | Columbia, South Carolina
Cornell University / CIDA | Ithaca, New York
Country Partners Cooperative | Nebraska, Nebraska
Cover Crop Innovations | Concord, Massachusetts
Cowboy Country Drone Service LLC | Northern Wyoming, Wyoming
Crop Air LLC | Eaton, Colorado
Crop Hawk Drone Services | Lafayette, Indiana
CropCare Drone Services of NY LLC | Le Roy, New York
CropGuard Aero Drones | Overland Park, Kansas
CropGuard Aero Drones LLC | Overland Park, Kansas
CropTech Solutions | Waterford, Pennsylvania
Custom Drone Solutions Inc. | Plymouth, Minnesota
Dakota Ag Solutions | Alcester, South Dakota
DarkStar Drones | Alabama, Alabama
DDR Application Drones | Tyler, TX, New Jersey
Delta 19 Land & Drone Services | Indianola, Mississippi
Delta Ag Drone Services | Greenville, Mississippi
Dickens AG Drone LLC | Jonesboro, Arkansas
Doss Drone Services | Palestine/Longview, Texas
Drone AG | Springfield, Nebraska
Drone Co. LLC | Jonesboro, Arkansas
Drone Crop Services (Remnant Technologies) | Missouri, Missouri
Drone Deploy Aerotech | Central, Illinois
Drone Nerds Enterprise | Englewood, Colorado
Drone Robotics Tech | City of Industry, California
Drone Services Hawaii | Honolulu, Hawaii
Drone Spray Pro | Rexburg, Idaho
Drone Sprout | Hendersonville, North Carolina
Drone Training School (DroneTrainingUS) | Port St. Lucie, Florida
DroneXum | Nebraska City, Nebraska
Dropcopter | Syracuse, New York
DSLRPros | Southern California, California
Dynamic Cropping Systems | New York Mills, Minnesota
Eagle Eye Agriculture LLC | Delphos, Ohio
Eagle Eye Drone Services | Belgrade, Nebraska
EAS Drones | Utah (serves UT, Utah
Eastern Mennonite University Drone Agriculture Program | Harrisonburg, Virginia
Elevated Ag Solutions | Central, Iowa
Elevation Aerial Application | Charlottesville, Virginia
Embry-Riddle Aeronautical University | Daytona Beach, Florida
Fair Lifts Agricultural Drones | Georgia, Georgia
Farmbotics Air | Coloma, Michigan
Farmers Choice | Sidney, Montana
Ference Agronomy | Central NE, Nebraska
FieldWing Precision | North Ogden, Utah
Flint River Drone Works LLC | Sylvester, Georgia
Flint River Irrigation Inc | Smithville, Georgia
Flit Drone Services | Dedham, Maine
Florida Drone Spray | Lake Okeechobee, Florida
Florida Keys Mosquito Control District | Key West, Florida
Fly The Farm Drone Services | Canandaigua, New York
FlyBy Ag | Utah, Utah
Flying Acres Ag LLC | Six Lakes, Michigan
Flying Acres LLC | Six Lakes, Michigan
Flying Cowboy Ag Services | Robinson, Texas
FlyingAg / Hein Ranch Co. | Visalia, California
FlyingAg | National, Pennsylvania
Fortis Aerial | Runnells, Iowa
Frontier Cooperative | Lincoln/Brainard, Nebraska
Frontier Precision Agriculture | Brighton, Colorado
G.S. Long Company | Union Gap/Yakima, WA; Wenatchee, WA; Hood River, Washington
Glass Tree Care and Spray Service | Eugene, Oregon
Gooseneck Implement | Kenmare, North Dakota
Great Plains Drone Co. | Lincoln, Nebraska
Green Again Drone Spraying | Spring Hill, Kansas
Green Creek Drones | Effingham, Illinois
Guardian Aerial LLC | Lafayette, Louisiana
Guardian Agriculture | Woburn, Massachusetts
Haley Flying Service | Tracy, California
Hall Ag Services | Paynesville, Mississippi
Harris Precision Solutions | Auburn, Alabama
Harvest Drone | Menahga, Minnesota
Hawaii Pacific Drone Solutions | Honolulu, Hawaii
Hazel Hill Drone Services LLC | Arbela, Missouri
Heartland Drone Co. | Peoria, Illinois
Heartland Drone Services | Wichita, Kansas
Heinen Brothers Agra Services | Seneca, Illinois
Heritage Drone Service | Kouts, Indiana
Hi-Aloft Drone Service | Muncy, Pennsylvania
Hinterland Drones | Auburn, Alabama
Hired Gun Weed & Pest Control | Kersey, Colorado
Houff Corporation Drone Services | Weyers Cave, Virginia
HTS Ag | Harlan, Iowa
Hubele AgriDrone | Weiser, Idaho
Huron County Drone Services LLC | Huron County, Michigan
Hylio | Houston, Texas
Idaho Drone Spraying | Magic Valley / Nampa, Idaho
Ignition Land Services | Texas, Texas
Illinois Drone Co. | Southern, Illinois
Independence Aerial Solutions | Washington County, Texas
Indian River Mosquito Control District | Vero Beach, Florida
Infinity Precision Ag | Nebraska, Nebraska
Influential Drones | Marlton, New Jersey
Inland Empire Drone Services | Medical Lake, Washington
Intermountain Agri Drones | New Plymouth, Idaho
Jackson Aerial Ag LLC | Huntington, West Virginia
Jose Aguilar | Monterey County, California
Joshua Zelmon | Santa Cruz, California
K Drone Services | Maryland, Maryland
Kansas Agricultural Drone Services (KADS) | Hiawatha, Kansas
Kansas Agricultural Drone Services | Kansas, Kansas
Kansas Drone Services | Hutchinson, Kansas
Kanza Drone Services | Pratt, Kansas
KDB Land and Air | Dothan, Alabama
Kingdom Crop Spraying | Frisco, Texas
KnoMo Air (KnoMo LLC) | Fredericktown, Ohio
Knox County Farmers Cooperative, Drone Services | Knoxville, Tennessee
KPR Aerial Applicators | Palestine, Texas
Kuhn's Aerial Applications LLC | Weston, West Virginia
Kurt George | Colusa County, California
L&R Ag LLC | Southern, Illinois
LAAR LLC | Champaign, Illinois
LahakX | Salinas, California
Leading Edge Aerial Technologies | National (3 pilots in ), California
Lee County Mosquito Control District | Fort Myers, Florida
Lincoln Creek Drone Spraying | Nebraska, Nebraska
LNP Ag Drone Spraying | Nebraska, Nebraska
Lone Oak Air LLC | Unknown, Washington
LSU AgCenter Precision Agriculture | Baton Rouge, Louisiana
LSUA Drone Training Center | Alexandria, Louisiana
M3 Agriculture Technologies | Omak, Washington
Macon Ridge Ag Drones | Winnsboro, Louisiana
Mahler Enterprises | Texas, Texas
Martens Ag Services | Nebraska City, Nebraska
Martens Ag Services LLC | Nebraska City, Iowa
Mast Aerial Services | Sacramento Delta, California
Mast Reforestation (fmr DroneSeed) | Seattle, Washington
Mast Reforestation | Seattle  (CA ops via Cal Forest Nurseries), California
Max Drone Service | Arkansas, Arkansas
Midwest Aerial Applicators | Indianapolis, Indiana
Midwest Ag Drones | Mendon, Illinois
Midwest Air LLC | Adams County, Ohio
Midwest Drone Applications | Overbrook, Iowa
Midwest Drones LLC | South Charleston, Ohio
Minnesota Drone Spray | Central, Minnesota
Minnkota Aerial | West-central, Minnesota
Mississippi State University Agricultural Autonomy Lab | Starkville, Mississippi
Missouri Valley Drone LLC | Bonnots Mill, Missouri
Mo Agri Drone Services | Kansas City area, Kansas
Mo Agri Drone Services LLC | Kansas City, Kansas
Montana Ag Drones | Townsend, Montana
NC Ag Spraying | Fresno, California
NC State Extension Precision Agriculture | Raleigh, North Carolina
Nebraskaland Aviation | Holdrege, Nebraska
Nelson Drone Solutions | Fairfield, Nebraska
New Heights Ag | Berne, Indiana
New Horizons Drone Solutions LLC | Wray, Colorado
Newland Ag Drones | Thayer, Kansas
Nexus Aerial Ag | Iowa/Illinois/Missouri, Illinois
North Carolina Ag Drones | Wilson, North Carolina
North Texas Aerial Applicators | Decatur, Texas
nuWay Ag (HLE Drones LLC) | Dundee, Nebraska
nuWay Ag | Dundee, OH, New York
Ohio Drone Aerial Application | Ohio statewide, Ohio
Oklahoma Aerial Ag | Northern OK, Oklahoma
On Top Ag | Greenwood, Nebraska
OneCor Services | Colorado (Weld County), Colorado
OnPoint Applications Group LLC | Battle Creek, Michigan
Orange County MVCD | Garden Grove, California
Osprey Agri Drones | Raleigh, Virginia
Osprey Agri Drones, Kentucky Division | Lexington, Kentucky
Osprey Agri Drones, Virginia Division | Richmond, Virginia
Outer Limits Drone Service | Southwest Montana, Montana
Pacific Ag Drones | Plymouth, California
Pacific Northwest Ag Drone | Wenatchee, Washington
Panhandle Drones | Perryton, Texas
Parabug | Salinas, California
Paratex Colorado Inc. | Loveland, Colorado
Pegasus Robotics | Atlanta, Georgia
Penn State Extension | Statewide, Pennsylvania
Pratum Co-op | Salem, Oregon
Precision Aerial Application | Harrisburg, Oregon
Precision Agricultural Services | Tampa, Florida
Precision Agridrone Solutions | Jacksonville, Illinois
Precision Air Ag LLC | Salina, Kansas
Precision Drone Applicators | Macomb, Michigan
Precision Drone LLC | Deford, Michigan
Prince George's Community College | Largo, Maryland
Pro Ag Solutions | Bismarck, North Dakota
R&C Drone AgSpray | West Point area, Nebraska
Rafter 7 AgriTech | Texas (serves OK and NM), Texas
Rantizo (Houston Hub) | Houston, Texas
Rantizo (Northern Rockies Hub) | Iowa City, IA (HQ); serves WY, Wyoming
Rantizo / American Autonomy | Iowa City, Iowa
Rantizo | Iowa City, IA, Pennsylvania
Rantizo PNW Hub | Unknown, Idaho
Raptor Dynamic / HSE-UAV | Casselberry, Florida
Raptor Dynamic | National, —
Raven 6 Rising LLC | Tupelo, Mississippi
RC Agriculture LLC | South-central Idaho, Idaho
Redstar LLC / Red Air | Leigh, Nebraska
ResourceLogic LLC | Colorado (Weld County), Colorado
Rize Drone Services LLC | Grand Junction, Colorado
Rocoza Ag | Grinnell, Iowa
Rogue Reconnaissance | Big Island / Maui, Hawaii
Rotor Technologies Inc. | Nashua, New Hampshire
Rowan University UAV Research | Glassboro, New Jersey
San Mateo County MVCD | Burlingame, California
Santa Clara County VCD | Santa Clara County, California
Santa Cruz County MVCD | Santa Cruz County, California
Scorpion Drones | Miami, Florida
Scout AI | Paso Robles, California
Scout Applicators LLC | Queenstown, Maryland
SE Kansas Ag Drone Services | SE Kansas, Kansas
SEKAD | Fort Scott, Kansas
Sky-Spray LLC | Cullman, Alabama
Skybusters Drone Services | Heyworth, Illinois
SkyFarm Solutions Inc. | Napa, California
SKYi Drone Solutions | Saegertown, Pennsylvania
Soaring Solutions Drone Service | Hastings, Nebraska
Soil Service Inc. | Iowa, Illinois
Sola Drones | New Iberia, Louisiana
South Alabama Drone Services | Alabama, Alabama
Southeast Drone Solutions | Charlotte, North Carolina
Southern Drone Ops | Arkansas, Arkansas
Southern Skies Ag Drone LLC | Valdosta, Georgia
Southwest Drone Service | Polk County, Florida
Southwest Georgia Drone Services LLC | Hahira, Georgia
Spartan Ag Drones LLC | Eastern Iowa, Iowa
Specialty Drone Solutions | Southern CA (serves Fresno, Bakersfield, California
Specialty Reforestation Inc | Southeast Georgia, Georgia
Spector Drones LLC | Parkville, Maryland
Sphex AG | Billings, Montana
Spotters Aerial Ag | Killdeer, North Dakota
Spray Drone Solutions | Iowa/South Dakota, Iowa
Stehly Farms | San Diego County, California
Stone Valley Drones | Huntingdon, Pennsylvania
Strubbe Drone Spraying LLC | Cass County, Illinois
SweetWater Franchise (Bill Pirkl) | Byron, Minnesota
SweetWater Franchise (Grant Bell) | Sullivan, Indiana
SweetWater Franchise (Nathan Janz) | Tonica, Illinois
SweetWater Franchise (Skyler Stahl) | Brownstown, Indiana
Swift Aeroseed LLC | Carlisle, Pennsylvania
Talos Drones (Bonta Vita Inc.) | Riverside, California
Talos Drones | Baton Rouge, Louisiana
Tenacity Ag (Frontier Precision) | Morris, Iowa
Tennessee State University DRONEs Program | Nashville, Tennessee
Terraplex Ag | Odebolt IA (HQ); Casey IA; Pella, Iowa
Terravata Drone Services | Homedale, Idaho
Tex-Air Drone | Multiple TX offices, Texas
TexAg Drone | Texas, Texas
Texas Ag Drones LLC | Lubbock, Texas
Texas Agridrone Services | Gonzales (Harwood), Texas
Texas Country Farm Supply | Pittsburg, Texas
The Equity | Effingham, Illinois
The Tree Doctor Inc. | Clarence, New York
Thoene Agri Drone Solutions | Hartington, Nebraska
Thrive Ag Co. | El Paso, Illinois
Thumb Drone LLC | Davison, Michigan
TJ Aerosense | Huron, South Dakota
Top Crop Agridrones | West TX (Lubbock area), Texas
Top Gun Protection Services | Central, Wisconsin
Total Drone Solutions | Nebraska, Nebraska
Tracye Beer (Independent) | Guymon, Oklahoma
Tri-Rotor Crop Services | Ulysses, Kansas
Truss Services LLC | Bucyrus, Ohio
Twisted J Agricultural Drones | Jackson County, Texas
Tyton Aviation | Issaquah, Washington
U.S.A.R. Drone Team, Agra Spray Team | Manasquan, New Jersey
UAV-IQ Precision Agriculture | California, California
UF/IFAS | Gainesville, Florida
UGA Precision Horticulture Lab | Tifton, Georgia
University of Arkansas Division of Agriculture | Fayetteville, Arkansas
University of Kentucky Martin-Gatton College of Agriculture | Lexington, Kentucky
University of Maryland Extension | Statewide, Maryland
University of Maryland Global Campus | Adelphi, Maryland
University of Tennessee Pesticide Safety Education Program | Knoxville, Tennessee
Venture Ag Drones | Antigo, Wisconsin
Vertical Ag | Wauseon, Ohio
Virginia Ag Drones | Suffolk, Virginia
Virginia Tech School of Plant and Environmental Sciences, Drone Program | Blacksburg, Virginia
Volatus Drones | Syracuse, New York
Volitant Technologies | Birmingham, Georgia
Vortex Advantage AG | Alvarado, Texas
Wampum Unmanned Technologies | Tulsa, Oklahoma
Warren County Mosquito Control Commission | Warren County, New Jersey
West Texas Agri Drone Solutions | West TX, Texas
Western Kentucky Aerial Spraying | Bowling Green, Kentucky
Western Wings Drone Service LLC | Dayton, Wyoming
Wiebe Crop Dust Services | Wichita, Kansas
Wilbur-Ellis Company | Salinas  (HQ San Francisco), California
Wilbur-Ellis UAS Solutions | Salinas, California
Williams Drones | Mitchell, South Dakota
Wollam Drones | Continental, Ohio
Wolverine Drone Services LLC | Clyde, Michigan
WVU Extension Service | Statewide, West Virginia
Wyoming Drone Spraying LLC | Lander, Wyoming
Yamaha Motor Corp USA | Napa County Airport; Cypress  (HQ), California
Ziegler Ag Inc | Nebraska, Nebraska
